hour_number,price,to_drop,demand,capacity
20231226-18,31.94,DSO-RD;,16333,26560
20231226-19,31.38,DSO-RD;,16124,26645
20231226-20,29.67,DSO-RD;,15841,26659
20231226-21,29.33,DSO-RD;,15472,26589
20231226-22,30.79,DSO-RD;,15001,26605
20231226-23,28.37,DSO-RD;,14223,26252
20231226-24,24.92,DSO-RD;,13453,26199
20231227-1,26.32,DSO-RD;,12905,26440
20231227-2,25.63,DSO-RD;,12489,25539
20231227-3,22.59,DSO-RD;,12297,25480
20231227-4,15.8,DSO-RD;,12317,25450
20231227-5,21.71,DSO-RD;,12505,25512
20231227-6,24.7,DSO-RD;,12891,25544
20231227-7,24.74,DSO-RD;,13723,25481
20231227-8,25.06,DSO-RD;,14466,25525
20231227-9,27.35,DSO-RD;,15086,25535
20231227-10,27.96,DSO-RD;,15575,25614
20231227-11,29.45,DSO-RD;,16102,25341
20231227-12,29.68,DSO-RD;,16487,25760
20231227-13,30.25,DSO-RD;,16731,25609
20231227-14,29.61,DSO-RD;,16631,25684
20231227-15,28.47,DSO-RD;,16462,25748
20231227-16,29.53,DSO-RD;,16504,25891
20231227-17,31.09,DSO-RD;,16903,25735
20231227-18,32.81,DSO-RD;,17358,25800
20231227-19,31.26,DSO-RD;,17040,25821
20231227-20,29.72,DSO-RD;,16787,25711
20231227-21,27.77,DSO-RD;,16363,25767
20231227-22,27.94,DSO-RD;,15724,25836
20231227-23,24.98,DSO-RD;,14872,25865
20231227-24,25.18,DSO-RD;,14012,25791
20240227-1,15.06,DSO-RD;,14081,28794
20240227-2,14.42,DSO-RD;,13870,28909
20240227-3,5.1,DSO-RD;,13656,28982
20240227-4,4.29,DSO-RD;,13674,29059
20240227-5,7.37,DSO-RD;,13912,29196
20240227-6,12.99,DSO-RD;,14581,29167
20240227-7,19.95,DSO-RD;,15582,29264
20240227-8,16.83,DSO-RD;,16525,28762
20240227-9,14.1,DSO-RD;,16276,28914
20240227-10,14.35,DSO-RD;,15932,29038
20240227-11,20.18,DSO-RD;,15898,28716
20240227-12,24.01,DSO-RD;,15928,28336
20240227-13,26.55,DSO-RD;,15791,28353
20240227-14,20.67,DSO-RD;,15940,27817
20240227-15,18.26,DSO-RD;,16047,27850
20240227-16,18.34,DSO-RD;,16249,27769
20240227-17,21.88,DSO-RD;,16771,27859
20240227-18,17.69,DSO-RD;,17138,27760
20240227-19,14.43,DSO-RD;,17044,28284
20240227-20,23.93,DSO-RD;,17049,28819
20240227-21,18.69,DSO-RD;,16644,29254
20240227-22,17.77,DSO-RD;,16114,29360
20240227-23,6.42,DSO-RD;,15185,29289
20240227-24,1.88,DSO-RD;,14189,29147
20240308-1,13.31,DSO-RD;,13647,26007
20240308-2,6.5,DSO-RD;,13433,26191
20240308-3,9.74,DSO-RD;,13347,26357
20240308-4,13.35,DSO-RD;,13333,26066
20240308-5,24.07,DSO-RD;,13672,25878
20240308-6,24.09,DSO-RD;,14234,25637
20240308-7,29.25,DSO-RD;,15511,24789
20240308-8,27.65,DSO-RD;,16382,24575
20240308-9,25.74,DSO-RD;,16060,24566
20240308-10,25.17,DSO-RD;,15897,24675
20240308-11,24.19,DSO-RD;,15564,24592
20240308-12,24.34,DSO-RD;,15206,24593
20240308-13,23.88,DSO-RD;,14877,24656
20240308-14,23.72,DSO-RD;,14703,24645
20240308-15,31.44,DSO-RD;,15071,24637
20240308-16,24.14,DSO-RD;,15600,24634
20240308-17,24.87,DSO-RD;,16097,24736
20240308-18,31.39,DSO-RD;,16649,24804
20240308-19,31.38,DSO-RD;,16963,25151
20240308-20,26.47,DSO-RD;,16761,25445
20240308-21,24.19,DSO-RD;,16279,25990
20240308-22,23.4,DSO-RD;,15620,26612
20240308-23,23.1,DSO-RD;,14834,26954
20240308-24,17.12,DSO-RD;,14019,27264
20240122-1,25.41,DSO-RD;,15691,29284
20240122-2,24.75,DSO-RD;,15408,29465
20240122-3,24.64,DSO-RD;,15321,29450
20240122-4,25.64,DSO-RD;,15358,29280
20240122-5,25.01,DSO-RD;,15543,29322
20240122-6,25.5,DSO-RD;,16077,29430
20240122-7,30.18,DSO-RD;,17274,29434
20240122-8,34.39,DSO-RD;,18662,28971
20240122-9,34.81,DSO-RD;,18929,29020
20240122-10,34.54,DSO-RD;,19000,28814
20240122-11,35.01,DSO-RD;,19046,28864
20240122-12,35.09,DSO-RD;,19490,28776
20240122-13,40.29,DSO-RD;,19322,28273
20240122-14,46.33,DSO-RD;,19482,28692
20240122-15,39.31,DSO-RD;,19472,28471
20240122-16,35.03,DSO-RD;,19472,28474
20240122-17,41.43,DSO-RD;,19819,27360
20240122-18,161.28,DSO-RD;,20368,27311
20240122-19,39.57,DSO-RD;,20139,27615
20240122-20,40.96,DSO-RD;,19937,26842
20240122-21,39.78,DSO-RD;,19386,26445
20240122-22,41.07,DSO-RD;,18641,25748
20240122-23,39.78,DSO-RD;,17606,26015
20240122-24,39.17,DSO-RD;,16633,26062
20240123-1,38.02,DSO-RD;,16124,25705
20240123-2,40.79,DSO-RD;,15697,25430
20240123-3,44.47,DSO-RD;,15600,25234
20240123-4,51.26,DSO-RD;,15518,24637
20240123-5,43.41,DSO-RD;,15750,24637
20240123-6,38.1,DSO-RD;,16163,24637
20240123-7,35.15,DSO-RD;,17251,24569
20240123-8,42.1,DSO-RD;,18494,23967
20240123-9,37.62,DSO-RD;,18922,23806
20240123-10,37.66,DSO-RD;,19081,23674
20240123-11,38.9,DSO-RD;,19147,23522
20240123-12,55.2,DSO-RD;,19228,23670
20240123-13,37.9,DSO-RD;,19017,23918
20240123-14,37.94,DSO-RD;,18928,23983
20240123-15,38.55,DSO-RD;,18972,24179
20240123-16,40.29,DSO-RD;,19157,24283
20240123-17,36.73,DSO-RD;,19611,24327
20240123-18,37.2,DSO-RD;,19925,24442
20240123-19,37.54,DSO-RD;,19755,24542
20240123-20,37.31,DSO-RD;,19719,25084
20240123-21,40.0,DSO-RD;,19248,25016
20240123-22,48.55,DSO-RD;,18601,25395
20240123-23,48.31,DSO-RD;,17514,25368
20240123-24,33.29,DSO-RD;,16494,25383
20240109-1,32.16,DSO-RD;,14715,27264
20240109-2,28.39,DSO-RD;,14208,27620
20240109-3,24.6,DSO-RD;,14049,27762
20240109-4,24.58,DSO-RD;,14051,27882
20240109-5,25.72,DSO-RD;,14226,27955
20240109-6,30.2,DSO-RD;,14849,28021
20240109-7,33.42,DSO-RD;,16015,27265
20240109-8,35.8,DSO-RD;,17510,27343
20240109-9,36.81,DSO-RD;,18170,27440
20240109-10,35.27,DSO-RD;,18258,27564
20240109-11,49.96,DSO-RD;,18763,27544
20240109-12,65.27,DSO-RD;,19315,27770
20240109-13,77.02,DSO-RD;,19412,28462
20240109-14,176.42,DSO-RD;,19517,28471
20240109-15,95.24,DSO-RD;,19422,28243
20240109-16,37.14,DSO-RD;,19131,28256
20240109-17,36.08,DSO-RD;,19460,28810
20240109-18,35.3,DSO-RD;,19996,29033
20240109-19,36.91,DSO-RD;,19383,29001
20240109-20,42.54,DSO-RD;,18966,28923
20240109-21,34.66,DSO-RD;,18512,28638
20240109-22,33.47,DSO-RD;,17668,28576
20240109-23,32.26,DSO-RD;,16533,28736
20240109-24,29.96,DSO-RD;,15447,28915
20240121-1,34.94,DSO-RD;,16560,28325
20240121-2,35.38,DSO-RD;,16245,28123
20240121-3,35.03,DSO-RD;,16033,27907
20240121-4,34.9,DSO-RD;,15957,28045
20240121-5,34.89,DSO-RD;,15907,27944
20240121-6,34.95,DSO-RD;,15871,27991
20240121-7,35.03,DSO-RD;,16309,28046
20240121-8,38.07,DSO-RD;,16980,27306
20240121-9,36.31,DSO-RD;,17433,27319
20240121-10,35.44,DSO-RD;,17787,27308
20240121-11,35.12,DSO-RD;,17829,27081
20240121-12,35.48,DSO-RD;,17558,26981
20240121-13,38.57,DSO-RD;,17474,26872
20240121-14,35.27,DSO-RD;,17352,26929
20240121-15,34.95,DSO-RD;,17396,27257
20240121-16,34.75,DSO-RD;,17902,27269
20240121-17,36.09,DSO-RD;,18633,27463
20240121-18,38.85,DSO-RD;,19544,27811
20240121-19,37.11,DSO-RD;,19495,28659
20240121-20,35.19,DSO-RD;,19032,29096
20240121-21,35.15,DSO-RD;,18714,28773
20240121-22,34.96,DSO-RD;,18133,29244
20240121-23,31.69,DSO-RD;,17225,29194
20240121-24,30.15,DSO-RD;,16338,29169
20240120-1,35.26,DSO-RD;,17158,27269
20240120-2,34.85,DSO-RD;,16709,27269
20240120-3,34.19,DSO-RD;,16441,27122
20240120-4,31.14,DSO-RD;,16411,27287
20240120-5,30.17,DSO-RD;,16473,27173
20240120-6,28.18,DSO-RD;,16567,27359
20240120-7,27.96,DSO-RD;,16943,27613
20240120-8,29.0,DSO-RD;,17704,27214
20240120-9,30.24,DSO-RD;,18315,27110
20240120-10,35.03,DSO-RD;,18926,27335
20240120-11,35.34,DSO-RD;,19331,27418
20240120-12,38.49,DSO-RD;,19555,27266
20240120-13,49.36,DSO-RD;,19315,26925
20240120-14,60.76,DSO-RD;,19089,27442
20240120-15,35.99,DSO-RD;,19132,27512
20240120-16,35.14,DSO-RD;,19362,27741
20240120-17,35.1,DSO-RD;,19631,27959
20240120-18,39.63,DSO-RD;,20226,28108
20240120-19,40.11,DSO-RD;,20196,28853
20240120-20,43.17,DSO-RD;,19780,28487
20240120-21,38.48,DSO-RD;,19331,28239
20240120-22,34.97,DSO-RD;,18654,28120
20240120-23,34.86,DSO-RD;,17636,28435
20240120-24,33.7,DSO-RD;,16996,28576
20240108-1,32.19,DSO-RD;,15036,26039
20240108-2,30.73,DSO-RD;,14460,25973
20240108-3,32.51,DSO-RD;,14284,26160
20240108-4,30.19,DSO-RD;,14257,26142
20240108-5,32.68,DSO-RD;,14442,26570
20240108-6,35.06,DSO-RD;,15113,26215
20240108-7,36.95,DSO-RD;,16550,26116
20240108-8,137.71,DSO-RD;,17970,25909
20240108-9,175.51,DSO-RD;,18437,25664
20240108-10,81.6,DSO-RD;,18577,25476
20240108-11,68.62,DSO-RD;,18515,25305
20240108-12,46.55,DSO-RD;,18450,25203
20240108-13,46.35,DSO-RD;,18450,25316
20240108-14,38.33,DSO-RD;,18499,25413
20240108-15,41.84,DSO-RD;,18584,25386
20240108-16,43.58,DSO-RD;,18701,25180
20240108-17,48.6,DSO-RD;,19120,25143
20240108-18,49.76,DSO-RD;,19665,25195
20240108-19,44.25,DSO-RD;,19106,25269
20240108-20,41.03,DSO-RD;,18775,25568
20240108-21,41.94,DSO-RD;,18373,25799
20240108-22,35.54,DSO-RD;,17369,25672
20240108-23,32.52,DSO-RD;,16513,26981
20240108-24,31.39,DSO-RD;,15340,26923
20240130-1,24.75,DSO-RD;,14925,28145
20240130-2,20.03,DSO-RD;,14536,28145
20240130-3,13.53,DSO-RD;,14491,28145
20240130-4,14.68,DSO-RD;,14354,28126
20240130-5,18.03,DSO-RD;,14534,28401
20240130-6,25.12,DSO-RD;,15004,28245
20240130-7,28.9,DSO-RD;,16221,27732
20240130-8,45.44,DSO-RD;,17821,27283
20240130-9,43.59,DSO-RD;,18360,27103
20240130-10,56.72,ADMIN;,18295,27022
20240130-11,49.05,DSO-RD;,18412,27147
20240130-12,40.07,DSO-RD;,18617,26900
20240130-13,44.85,DSO-RD;,18735,26836
20240130-14,48.29,DSO-RD;,18795,26721
20240130-15,66.65,DSO-RD;,18715,26524
20240130-16,49.23,DSO-RD;,18935,26306
20240130-17,46.32,DSO-RD;,19051,26279
20240130-18,42.58,DSO-RD;,19401,25926
20240130-19,37.53,DSO-RD;,19327,26465
20240130-20,39.17,DSO-RD;,18778,26367
20240130-21,40.44,DSO-RD;,18542,26445
20240130-22,41.96,DSO-RD;,18017,26404
20240130-23,32.69,DSO-RD;,16913,26340
20240130-24,33.28,DSO-RD;,15996,26302
20240124-1,31.07,DSO-RD;,15759,24516
20240124-2,28.27,DSO-RD;,15515,24810
20240124-3,33.9,DSO-RD;,15219,24496
20240124-4,32.84,DSO-RD;,15235,24386
20240124-5,37.76,DSO-RD;,15443,24246
20240124-6,37.24,DSO-RD;,15772,24162
20240124-7,39.85,DSO-RD;,16864,24096
20240124-8,75.65,DSO-RD;,18210,23271
20240124-9,45.63,DSO-RD;,18714,23137
20240124-10,40.03,DSO-RD;,18807,23144
20240124-11,45.61,DSO-RD;,18955,23287
20240124-12,47.88,DSO-RD;,19079,23454
20240124-13,55.64,DSO-RD;,19182,23402
20240124-14,104.72,DSO-RD;,19195,23279
20240124-15,41.62,DSO-RD;,19137,23332
20240124-16,39.16,DSO-RD;,19265,23369
20240124-17,40.45,DSO-RD;,19588,23293
20240124-18,37.69,DSO-RD;,20006,23684
20240124-19,39.08,DSO-RD;,19472,24323
20240124-20,42.14,DSO-RD;,19085,24323
20240124-21,40.45,DSO-RD;,18877,24254
20240124-22,36.07,DSO-RD;,18248,24062
20240124-23,34.84,DSO-RD;,17124,24045
20240124-24,30.92,DSO-RD;,16080,24045
20240118-1,33.06,DSO-RD;,16543,28832
20240118-2,32.4,DSO-RD;,16312,28536
20240118-3,28.43,DSO-RD;,16092,28509
20240118-4,32.42,DSO-RD;,16032,28437
20240118-5,34.33,DSO-RD;,16242,28231
20240118-6,36.79,DSO-RD;,16985,27963
20240118-7,59.11,DSO-RD;,18337,27340
20240118-8,66.11,DSO-RD;,19617,26580
20240118-9,61.15,DSO-RD;,19890,26561
20240118-10,46.3,DSO-RD;,19796,26512
20240118-11,49.94,DSO-RD;,19860,26550
20240118-12,73.27,DSO-RD;,19584,25925
20240118-13,50.11,DSO-RD;,19760,26527
20240118-14,66.31,ADMIN;,19554,26477
20240118-15,54.33,DSO-RD;,19214,26313
20240118-16,67.2,DSO-RD;,19301,26162
20240118-17,48.17,DSO-RD;,19880,26078
20240118-18,53.15,DSO-RD;,20440,25940
20240118-19,44.21,DSO-RD;,20306,25882
20240118-20,42.51,DSO-RD;,20122,25888
20240118-21,48.38,DSO-RD;,19761,25878
20240118-22,50.47,DSO-RD;,19080,25554
20240118-23,40.39,DSO-RD;,17850,25449
20240118-24,36.51,DSO-RD;,16959,26197
20240119-1,35.02,DSO-RD;,16312,26304
20240119-2,43.03,DSO-RD;,15893,26402
20240119-3,36.83,DSO-RD;,15734,26476
20240119-4,38.95,DSO-RD;,15751,26614
20240119-5,39.77,DSO-RD;,16033,26686
20240119-6,36.24,DSO-RD;,16544,26729
20240119-7,41.22,DSO-RD;,17865,26737
20240119-8,51.69,DSO-RD;,19325,26964
20240119-9,37.95,DSO-RD;,19669,26970
20240119-10,36.24,DSO-RD;,19660,27007
20240119-11,36.22,DSO-RD;,19677,27025
20240119-12,32.85,DSO-RD;,19701,26926
20240119-13,30.69,DSO-RD;,19402,26413
20240119-14,34.45,DSO-RD;,19693,27007
20240119-15,34.75,DSO-RD;,19682,26668
20240119-16,32.96,DSO-RD;,19457,26601
20240119-17,34.97,DSO-RD;,19912,26856
20240119-18,36.17,DSO-RD;,20626,26845
20240119-19,36.55,DSO-RD;,20505,27062
20240119-20,44.27,DSO-RD;,20399,27059
20240119-21,50.14,DSO-RD;,20295,26626
20240119-22,40.74,DSO-RD;,19373,26479
20240119-23,39.44,DSO-RD;,18479,26620
20240119-24,39.36,DSO-RD;,17700,26748
20240125-1,28.61,DSO-RD;,15339,24315
20240125-2,31.22,DSO-RD;,14921,24295
20240125-3,27.33,DSO-RD;,14819,24315
20240125-4,27.25,DSO-RD;,14693,24433
20240125-5,27.22,DSO-RD;,14884,24425
20240125-6,27.02,DSO-RD;,15349,24425
20240125-7,31.59,DSO-RD;,16438,24420
20240125-8,36.23,DSO-RD;,17680,23882
20240125-9,33.16,DSO-RD;,18201,23808
20240125-10,33.71,DSO-RD;,18307,23974
20240125-11,37.54,DSO-RD;,18316,23971
20240125-12,33.15,DSO-RD;,18358,23979
20240125-13,33.93,DSO-RD;,18247,23927
20240125-14,32.43,ADMIN;,18157,23816
20240125-15,32.75,ADMIN;,18093,23941
20240125-16,38.56,DSO-RD;,18286,23937
20240125-17,33.28,DSO-RD;,18671,24045
20240125-18,31.02,DSO-RD;,19021,24119
20240125-19,34.44,DSO-RD;,18790,24915
20240125-20,33.31,DSO-RD;,18424,25115
20240125-21,29.58,DSO-RD;,17962,25445
20240125-22,29.25,DSO-RD;,17289,25742
20240125-23,28.69,DSO-RD;,16335,26018
20240125-24,28.66,DSO-RD;,15392,25999
20240131-1,34.0,DSO-RD;,15378,26096
20240131-2,36.58,DSO-RD;,14782,26021
20240131-3,33.26,DSO-RD;,14700,26009
20240131-4,32.17,DSO-RD;,14603,26013
20240131-5,31.72,DSO-RD;,14763,26018
20240131-6,31.35,DSO-RD;,15188,26026
20240131-7,34.1,DSO-RD;,16456,26066
20240131-8,43.13,DSO-RD;,17718,25510
20240131-9,37.79,DSO-RD;,18065,25789
20240131-10,37.35,DSO-RD;,17959,25857
20240131-11,53.72,DSO-RD;,18018,26002
20240131-12,41.74,DSO-RD;,18029,25988
20240131-13,38.54,DSO-RD;,17883,26047
20240131-14,37.45,DSO-RD;,17788,26338
20240131-15,33.88,DSO-RD;,17795,26664
20240131-16,31.51,DSO-RD;,17954,26866
20240131-17,31.68,DSO-RD;,18506,27072
20240131-18,33.42,DSO-RD;,18914,27441
20240131-19,31.18,DSO-RD;,18598,28349
20240131-20,29.43,DSO-RD;,18098,28729
20240131-21,28.11,DSO-RD;,17672,29210
20240131-22,27.53,DSO-RD;,17007,29465
20240131-23,26.62,DSO-RD;,16212,29454
20240131-24,18.04,DSO-RD;,15246,29454
20240127-1,27.72,DSO-RD;,14751,25439
20240127-2,28.14,DSO-RD;,14327,24920
20240127-3,28.41,DSO-RD;,14018,25381
20240127-4,28.05,DSO-RD;,13950,25352
20240127-5,27.83,DSO-RD;,14005,25369
20240127-6,29.35,DSO-RD;,14283,25371
20240127-7,28.18,DSO-RD;,14858,25425
20240127-8,31.74,DSO-RD;,15661,24736
20240127-9,32.75,DSO-RD;,16451,24814
20240127-10,35.41,DSO-RD;,16890,24768
20240127-11,32.62,DSO-RD;,17160,24820
20240127-12,34.35,DSO-RD;,17448,24818
20240127-13,34.09,DSO-RD;,17328,24840
20240127-14,42.83,DSO-RD;,17438,24815
20240127-15,33.95,DSO-RD;,17389,24811
20240127-16,33.69,DSO-RD;,17470,24781
20240127-17,32.2,DSO-RD;,17596,24842
20240127-18,32.24,DSO-RD;,17825,24858
20240127-19,31.96,DSO-RD;,17595,25617
20240127-20,30.59,DSO-RD;,17176,25773
20240127-21,32.54,DSO-RD;,16696,25905
20240127-22,30.15,DSO-RD;,16197,26901
20240127-23,31.54,DSO-RD;,15428,26936
20240127-24,28.74,DSO-RD;,14830,26978
20240126-1,29.69,DSO-RD;,14887,27339
20240126-2,12.21,DSO-RD;,14573,28366
20240126-3,0.98,DSO-RD;,14302,28405
20240126-4,9.38,DSO-RD;,14443,29146
20240126-5,27.23,DSO-RD;,14815,28909
20240126-6,29.93,DSO-RD;,15360,28604
20240126-7,30.17,DSO-RD;,16621,28439
20240126-8,33.54,DSO-RD;,17689,27215
20240126-9,33.82,DSO-RD;,18300,26088
20240126-10,33.33,DSO-RD;,18457,26531
20240126-11,33.2,DSO-RD;,18605,26868
20240126-12,33.93,DSO-RD;,18560,26911
20240126-13,33.63,DSO-RD;,18197,26409
20240126-14,38.0,DSO-RD;,18269,26402
20240126-15,36.52,DSO-RD;,18197,25993
20240126-16,34.0,DSO-RD;,18202,26053
20240126-17,37.49,DSO-RD;,18539,26109
20240126-18,37.55,DSO-RD;,18870,26180
20240126-19,33.53,DSO-RD;,18609,26699
20240126-20,41.75,DSO-RD;,18305,26613
20240126-21,37.26,DSO-RD;,18015,26617
20240126-22,34.54,DSO-RD;,17488,26432
20240126-23,31.82,DSO-RD;,16454,26398
20240126-24,29.42,DSO-RD;,15447,26444
20240301-1,37.43,DSO-RD;,16091,25604
20240301-2,32.78,DSO-RD;,15675,25433
20240301-3,28.23,DSO-RD;,15466,25424
20240301-4,28.23,DSO-RD;,15410,25487
20240301-5,28.39,DSO-RD;,15618,25594
20240301-6,25.59,DSO-RD;,16037,26177
20240301-7,31.29,DSO-RD;,17108,26358
20240301-8,29.04,DSO-RD;,17829,26096
20240301-9,52.07,DSO-RD;,17894,26406
20240301-10,33.51,DSO-RD;,17262,26411
20240301-11,27.66,DSO-RD;,16090,26198
20240301-12,24.32,DSO-RD;,15882,26320
20240301-13,27.7,DSO-RD;,15755,26578
20240301-14,24.3,DSO-RD;,15629,26557
20240301-15,23.4,DSO-RD;,15374,26547
20240301-16,25.29,DSO-RD;,15932,26590
20240301-17,27.92,DSO-RD;,16720,26367
20240301-18,44.09,DSO-RD;,17414,26004
20240301-19,57.01,DSO-RD;,17773,25792
20240301-20,29.84,DSO-RD;,17413,26095
20240301-21,27.97,DSO-RD;,16965,26303
20240301-22,34.95,DSO-RD;,16719,26481
20240301-23,28.06,DSO-RD;,15920,26828
20240301-24,29.41,DSO-RD;,15020,26701
20240103-1,28.82,DSO-RD;,14780,28218
20240103-2,35.84,DSO-RD;,14444,27873
20240103-3,29.39,DSO-RD;,14189,27256
20240103-4,32.34,DSO-RD;,14184,27060
20240103-5,31.42,DSO-RD;,14401,26865
20240103-6,32.32,DSO-RD;,14909,26676
20240103-7,32.43,DSO-RD;,15851,26685
20240103-8,36.65,DSO-RD;,17068,26607
20240103-9,38.88,DSO-RD;,17643,26603
20240103-10,40.45,DSO-RD;,18022,26787
20240103-11,41.09,DSO-RD;,18192,26762
20240103-12,50.03,DSO-RD;,18354,26303
20240103-13,40.44,DSO-RD;,18257,26756
20240103-14,38.37,DSO-RD;,18207,26894
20240103-15,40.06,DSO-RD;,18255,26922
20240103-16,40.13,DSO-RD;,18476,26857
20240103-17,54.49,DSO-RD;,18928,26741
20240103-18,53.42,DSO-RD;,19452,26736
20240103-19,38.49,DSO-RD;,19015,26994
20240103-20,37.71,DSO-RD;,18843,26943
20240103-21,32.66,DSO-RD;,18418,27251
20240103-22,34.25,DSO-RD;,17725,27282
20240103-23,32.39,DSO-RD;,16766,27731
20240103-24,31.58,DSO-RD;,15698,27908
20240117-1,41.16,DSO-RD;,16747,27890
20240117-2,37.47,DSO-RD;,16383,28570
20240117-3,37.28,DSO-RD;,16307,28473
20240117-4,36.84,DSO-RD;,16371,28553
20240117-5,36.61,DSO-RD;,16525,28813
20240117-6,37.17,DSO-RD;,16940,28841
20240117-7,40.63,DSO-RD;,18227,28841
20240117-8,54.01,DSO-RD;,19674,28920
20240117-9,54.06,DSO-RD;,20034,29018
20240117-10,47.13,DSO-RD;,19818,28893
20240117-11,40.87,DSO-RD;,19728,29105
20240117-12,37.34,DSO-RD;,19550,29351
20240117-13,38.58,DSO-RD;,19105,29258
20240117-14,37.15,DSO-RD;,18988,29934
20240117-15,37.09,DSO-RD;,18969,29994
20240117-16,37.28,DSO-RD;,19078,29234
20240117-17,40.53,DSO-RD;,19503,29137
20240117-18,38.71,DSO-RD;,20318,29569
20240117-19,40.82,DSO-RD;,20348,29507
20240117-20,41.83,DSO-RD;,20144,29607
20240117-21,41.44,DSO-RD;,19856,28777
20240117-22,40.88,DSO-RD;,19286,29199
20240117-23,38.26,DSO-RD;,18200,29228
20240117-24,36.94,DSO-RD;,17106,29232
20240116-1,72.39,DSO-RD;,16692,26510
20240116-2,71.25,DSO-RD;,16124,25777
20240116-3,70.29,DSO-RD;,15954,26298
20240116-4,70.32,DSO-RD;,16028,26346
20240116-5,70.45,DSO-RD;,16253,26298
20240116-6,82.41,DSO-RD;,16893,26464
20240116-7,104.16,DSO-RD;,18189,26095
20240116-8,116.91,DSO-RD;,19611,26124
20240116-9,118.1,DSO-RD;,20016,26387
20240116-10,108.3,DSO-RD;,19965,26602
20240116-11,108.51,DSO-RD;,20010,26971
20240116-12,106.87,DSO-RD;,19864,27074
20240116-13,93.99,DSO-RD;,19450,27546
20240116-14,86.44,DSO-RD;,19051,27704
20240116-15,85.11,DSO-RD;,18927,28104
20240116-16,80.91,DSO-RD;,19010,28119
20240116-17,88.32,DSO-RD;,19826,28303
20240116-18,93.49,DSO-RD;,20695,28163
20240116-19,101.35,DSO-RD;,20714,27794
20240116-20,95.45,DSO-RD;,20372,28119
20240116-21,80.86,DSO-RD;,20019,28237
20240116-22,77.14,DSO-RD;,19281,28348
20240116-23,68.85,DSO-RD;,18177,28160
20240116-24,64.22,DSO-RD;,17248,28377
20240102-1,27.21,DSO-RD;,14124,27128
20240102-2,27.17,DSO-RD;,13796,27251
20240102-3,20.93,DSO-RD;,13617,27532
20240102-4,22.48,DSO-RD;,13500,27688
20240102-5,19.81,DSO-RD;,13714,27829
20240102-6,26.54,DSO-RD;,14196,28223
20240102-7,27.18,DSO-RD;,15381,28217
20240102-8,29.61,DSO-RD;,16411,28281
20240102-9,30.21,DSO-RD;,16839,28367
20240102-10,29.88,DSO-RD;,17215,28663
20240102-11,29.36,DSO-RD;,17519,28936
20240102-12,30.88,DSO-RD;,17606,29576
20240102-13,29.69,DSO-RD;,17648,29749
20240102-14,29.92,DSO-RD;,17644,30066
20240102-15,30.87,DSO-RD;,17684,30001
20240102-16,30.35,DSO-RD;,17964,29728
20240102-17,30.28,DSO-RD;,18402,29829
20240102-18,32.9,DSO-RD;,19035,29831
20240102-19,31.83,DSO-RD;,18688,29713
20240102-20,32.39,DSO-RD;,18384,29221
20240102-21,33.2,DSO-RD;,18027,29537
20240102-22,33.75,DSO-RD;,17361,28761
20240102-23,29.65,DSO-RD;,16334,29092
20240102-24,29.69,DSO-RD;,15456,28981
20240302-1,27.77,DSO-RD;,14316,26262
20240302-2,28.67,DSO-RD;,14002,26223
20240302-3,29.37,DSO-RD;,13837,25880
20240302-4,67.22,DSO-RD;,13867,25700
20240302-5,32.66,DSO-RD;,13774,25428
20240302-6,27.31,DSO-RD;,13942,25095
20240302-7,27.49,DSO-RD;,14518,24967
20240302-8,26.9,DSO-RD;,15215,24899
20240302-9,28.63,DSO-RD;,15798,24372
20240302-10,34.23,DSO-RD;,16402,24077
20240302-11,105.7,DSO-RD;,16776,23780
